substratum,下層
arborist,樹医
ornithology,鳥類学
betrothed,許嫁の
preordain,予定する
pleomorphic,多形性の
hydroponic,水耕の
milliner,婦人用帽子屋
pastoralist,牧畜家
asymptotic,漸近する
hemodialysis,血液透析
habitus,体質
forbear,慎む
prudish,潔癖な
neologism,新語
bruiser,強い大男
venerate,大いに尊ぶ
treasonous,反逆的な
encumbrance,邪魔者
peccadillo,微罪
pitiable,哀れな
ventral,腹の
taxidermy,剥製術
chasten,懲らしめる
mudslinging,中傷
demoralize,士気をくじく
avaricious,強欲の
transgene,導入遺伝子
hosiery,靴下類
dendrite,樹状突起
titillate,くすぐる
giddiness,めまい
wanderlust,放浪癖
oratorical,演説の
parsimony,極度の倹約
iconoclasm,偶像破壊
jamboree,陽気な騒ぎ
infuriate,激怒させる
papillary,乳頭の
sawtooth,のこぎり歯
lithographic,石版術の
finitude,有限性
tinderbox,火口箱
demagogic,扇動的な
exultation,歓喜
forsake,見捨てる
stowage,積み込み
dazzlingly,目もくらむほどに
doleful,悲しげな
recursion,反復
joinery,指物職
orthopedics,整形外科
chicanery,詭弁
choreograph,振付をする
quackery,いんちき療法
untrammeled,自由な
pockmarked,あばたのある
shrilly,金切声で
ellipsis,省略
worldliness,俗念
