chautauqua,夏期大学
dressage,馬場馬術
percolation,濾過
concisely,簡潔に
vindicate,嫌疑を晴らす
inspiratory,呼気性の
stochastic,確率的な
clavicle,鎖骨
gallbladder,胆嚢
ingratiate,機嫌を取る
conviviality,宴会
bombast,大言壮語
abscond,逃亡する
gibbous,凸状の
disrepute,不評
viaduct,陸橋
appraise,値踏みする
chivalrous,騎士道の
edification,啓発
angiosperm,被子植物
ungulate,有蹄の
bubonic,横根の
perdition,破滅
perjure,偽誓する
elicitation,誘発
federalize,連邦化する
oxymoronic,撞着語法の
stanchion,支柱
bumpkin,無骨者
suckling,乳獣
interdict,禁止する
distiller,蒸留器
dilettante,芸術愛好家
propulsive,推進力のある
cellblock,独房棟
legibility,読みやすさ
bordello,売春宿
irradiate,照らす
pubescent,思春期の
alacrity,敏活
flamboyantly,派手に
poultice,湿布
pedagogue,教師
atavistic,隔世遺伝的な
exhumation,死体の発掘
lionize,かつぎあげる
pillory,さらし台
iatrogenic,医原性の
preachy,説教じみた
semaphore,手旗信号
urethra,尿道
triumvirate,三執政
contusion,打撲傷
matriculate,入学する
gourmand,大食家
centripetal,求力性の
sluggishly,不活発に
ethmoid,篩状の
grapheme,書記素
cognoscenti,専門家
