penetrator,針入度計
ablution,沐浴
cosmetology,美容術
rhapsodic,狂想的な
fetishize,執着をなす
serological,血清学的な
worshipful,敬虔な
potbelly,太鼓腹
apparatchik,党官僚
stigmatize,汚名を着せる
phospholipid,リン脂質
dyspnea,呼吸困難
distend,膨張させる
jocular,おどけた
trapezius,僧帽筋
bullion,金塊
decimate,多くの人を殺す
languorous,だるい
audiologist,聴覚訓練士
blastocyst,胎盤胞
sibilant,歯擦音の
tabular,平板状の
endotoxin,内毒素
finagle,だます
genealogist,系図学者
emasculate,去勢する
creditable,名誉となる
luminance,輝度値
erector,組立工
colloquy,対話
pulverize,粉状にする
epistaxis,鼻出血
hoarseness,嗄れ声
bewitching,人を魅するような
syllogism,三段論法
underglaze,下絵具
goofball,睡眠薬
coagulate,凝固させる
vibrantly,鮮やかに
arachnid,蜘蛛形綱の動物
disconsolate,酷く悲しい
warhorse,老兵
sycophant,へつらう人
prochoice,中絶支持の
meningioma,髄膜種
augment,増加させる
snifter,ほんの一口
metatarsal,中足の
moronic,馬鹿な
lethality,致死
rubella,風疹
agoraphobia,広場恐怖症
angiogram,血管造影図
reincarnate,化身する
legation,公使館
offhandedly,何気なく軽率に
charitably,慈悲深く
mammary,乳房の
parallax,視差
sarcoidosis,類肉腫症
