laryngitis,喉頭炎
feldspar,長石
retinopathy,網膜症
articular,関節の
dumbfound,驚かせる
disjunctive,分離性の
mandibular,下顎の
noblesse,高貴の身分
apologetics,弁証学
demobilize,解隊する
parochialism,教区制
languor,だるさ
slumber,眠る
validly,法的に
leukocyte,白血球
factoid,擬似事実
enthrone,王位につかせる
polygynous,一夫多妻の
malevolence,悪意
suffragist,婦人参政権論者
debonair,小粋な
eugenic,優生の
dejection,落胆
mortify,屈辱を感じさせる
prosthetics,補綴学
triplicate,3倍する
volitional,意志の
truncheon,警棒
prequel,前日譚
aesthete,唯美主義者
victimize,苦しめる
penitence,後悔
hysteresis,履歴現象
jingoistic,対外強硬主義の
archenemy,大敵
lectionary,読誦集
bonhomie,気さく
conjugate,活用させる
crotchety,気まぐれな
pilaster,壁柱
evangelistic,福音書記者の
evildoer,悪人
almshouse,私立救貧院
bariatric,肥満学の
eustachian,耳管
despoil,略奪する
blister,水疱
traitorous,反逆の
unglued,はがれた
exoticism,異国趣味
brigand,山賊
instigation,扇動
sobriquet,あだ名
corroborate,補強する
repartee,当意即妙
levelheaded,穏健な
censorious,批判的な
peevish,気難しい
contrail,飛行機雲
crematorium,火葬場
